gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1427421855	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Makara Beach - Rocks at north end	c58ac019-b413-4613-8772-39e57acbeb8e	-41.219333	174.714217	30.0				7.5	2.5	2003-12-09T00:00:00Z	9	12	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC855 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.544Z		COORDINATE_ROUNDED
1427421854	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Sponge Bay	c58ac019-b413-4613-8772-39e57acbeb8e	-38.705	178.050667	30.0				0.5	0.5	2004-03-08T00:00:00Z	8	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC978 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.556Z		COORDINATE_ROUNDED
1427421853	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Makara Beach - Rocks at north end	c58ac019-b413-4613-8772-39e57acbeb8e	-41.219333	174.714217	30.0				12.5	2.5	2003-12-09T00:00:00Z	9	12	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC862 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.552Z		COORDINATE_ROUNDED
1427421852	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1019 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.556Z		
1427421851	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Te Tapuwae O Rongokako Marine Reserve	c58ac019-b413-4613-8772-39e57acbeb8e	-38.596667	178.2	30.0				0.5	0.5	2004-03-09T00:00:00Z	9	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC933 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.565Z		COORDINATE_ROUNDED
1427421850	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Sponge Bay	c58ac019-b413-4613-8772-39e57acbeb8e	-38.705	178.050667	30.0				0.5	0.5	2004-03-08T00:00:00Z	8	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC968 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.568Z		COORDINATE_ROUNDED
1427421849	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Pourerere - Tuingara Point	c58ac019-b413-4613-8772-39e57acbeb8e	-40.120533	176.874583	30.0				5.5	0.5	2004-01-26T00:00:00Z	26	1	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC814 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.571Z		COORDINATE_ROUNDED
1427421848	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1012 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.567Z		
1427421847	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Pourerere - Tuingara Point	c58ac019-b413-4613-8772-39e57acbeb8e	-40.120533	176.874583	30.0				5.5	0.5	2004-01-26T00:00:00Z	26	1	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC800 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.571Z		COORDINATE_ROUNDED
1427421846	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Camp Bay - West Shore	c58ac019-b413-4613-8772-39e57acbeb8e	-43.621817	172.779317	30.0				2.5	2.5	2003-11-27T00:00:00Z	27	11	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC658 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.562Z		COORDINATE_ROUNDED
